notionPageId,company,website,location,category,reach,pipelineStatus,automationStatus,dataQuality,hasEmail,hasPhone,hasDraft,hasSentMessage,hasReply,hasFollowUpDraft,hasError,sentAt,lastContacted,lastUpdated,followUpCreatedAt,replyDetectedAt,dataSource,automationError
35ef938c-c271-800d-aff9-d07fd6352e62,Bodensee-Therme Überlingen,https://www.bodensee-therme.de/,,,,Lead,Daten ergänzt,Vollständig,true,true,true,false,false,false,false,,,2026-05-18T12:07:00.000+00:00,,,https://www.bodensee-therme.de/service-beratung https://www.bodensee-therme.de/ https://www.bodensee-therme.de/impressum https://www.bodensee-therme.de/ueber-uns,
357f938c-c271-80f0-8b81-dc9b9cbc62f4,BSB Bodensee Schifffahrt,https://www.bsb.de/,,,,Closed-Lost,,,true,true,false,true,false,false,false,,2026-05-05,,,,,
358f938c-c271-80f7-aede-efe87e21da67,Burg Hohenzollern,https://www.burg-hohenzollern.com/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
358f938c-c271-80d2-a4f2-dc7e96905a87,Burg Meersburg,https://www.burg-meersburg.de/,,,,Closed-Won,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
361f938c-c271-8022-91d4-f9429b1166e4,Cinestar Konstanz,https://www.cinestar.de/,,,,Lead,Fehler,Vollständig,true,false,true,false,false,false,true,,,2026-05-15T20:44:00.000+00:00,,,https://www.cinestar.de/impressum https://www.cinestar.de/,invalid_grant
358f938c-c271-8033-98d4-c0290310b353,Citytour im roten Doppeldeckerbus,https://www.stuttgart-tourist.de/a-citytour-stuttgart,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
35af938c-c271-80f1-888a-e6c3cc453261,Conny-Land,https://www.connyland.ch/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
361f938c-c271-80c8-9076-c65a3349841c,Deutsches Museum,https://www.deutsches-museum.de/,,,,Lead,Fehler,Vollständig,true,true,true,false,false,false,true,,,2026-05-15T20:42:00.000+00:00,,,https://www.deutsches-museum.de/museum/presse https://www.deutsches-museum.de/museum/impressum https://www.deutsches-museum.de/,invalid_grant
359f938c-c271-80d3-a0f9-c796a2553372,Dornier Museum,https://www.dorniermuseum.de/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
356f938c-c271-80e4-8eb6-face15828ca5,Escape Room Konstanz,https://www.escaperoom-konstanz.de/,Konstanz,,,E-Mail / Contacted,,,true,true,false,true,false,false,false,,2026-05-05,,,,,
357f938c-c271-800b-be93-c4df8129b8df,Europapark,https://www.europapark.de/,,,,E-Mail / Contacted,,,true,true,false,false,false,false,false,,,,,,,
364f938c-c271-8056-8cba-ec2df038d753,FC BAYERN MUSEUM,https://fcbayern.com/museum/de,,,,Lead,Fehler,Unvollständig,true,false,false,false,false,false,true,,,2026-05-18T12:05:00.000+00:00,,,https://fcbayern.com/museum/de,invalid_grant
358f938c-c271-803f-8ad8-d3334ce918c1,Fernsehturm Stuttgart,https://www.fernsehturm-stuttgart.de/,,,,Closed-Won,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
364f938c-c271-80f1-a3a8-f2f982712264,Festungsruine Hohentwiel,www.festungsruine-hohentwiel.de,,,,Lead,Fehler,Teilweise,true,false,false,false,false,false,true,,,2026-05-18T12:03:00.000+00:00,,,https://www.festungsruine-hohentwiel.de/ https://www.festungsruine-hohentwiel.de/presse,invalid_grant
364f938c-c271-80e8-9125-e6cfc58dd64c,FIFA Museum,https://www.fifamuseum.com/en,,,,Lead,Fehler,Teilweise,true,false,false,false,false,false,true,,,2026-05-18T12:07:00.000+00:00,,,https://www.fifamuseum.com/en,invalid_grant
359f938c-c271-80a2-8b5a-ce32c8b37735,Flying Fox im Olympiapark,https://sayaq-adventures-muenchen.com/,,,,Reply,Fehler,Unvollständig,true,true,true,true,false,false,true,2026-05-12T19:59:00.000+00:00,2026-05-12T19:59:00.000+00:00,2026-05-12T18:26:00.000+00:00,,,https://sayaq-adventures-muenchen.com/,invalid_grant
364f938c-c271-80b0-a308-f1304e8a22ad,Fotomuseum Winterthur,https://www.fotomuseum.ch/de/,,,,Lead,Fehler,Unvollständig,true,false,false,false,false,false,true,,,2026-05-18T12:06:00.000+00:00,,,https://www.fotomuseum.ch/de/,invalid_grant
364f938c-c271-802d-8cdd-ca4c06705a65,Hesse Museum Gaienhofen,www.hesse-museum-gaienhofen.de,,,,Lead,Fehler,Vollständig,true,true,false,false,false,false,true,,,2026-05-18T12:03:00.000+00:00,,,https://www.hesse-museum-gaienhofen.de/ https://www.hesse-museum-gaienhofen.de/impressum,invalid_grant
357f938c-c271-8012-ace7-e87dbf3db855,Historische Schifffahrt Bodensee Sonja Beifuss,https://www.hs-bodensee.eu/,,,,E-Mail / Contacted,,,true,true,false,true,false,false,false,,2026-05-05,,,,,
35ef938c-c271-80bb-98ec-eb53783263c2,Historisches Museum Thurgau,https://historisches-museum.tg.ch/,,,,Lead,Prüfen,Unvollständig,true,false,true,false,false,false,false,,,2026-05-18T12:09:00.000+00:00,,,https://historisches-museum.tg.ch/,
